HR.info ID,Preferred Term,Operation,Location - Taxonomy Term,"Address (free text to include building name/number, street & Postcode)",Address - Locality (i.e. City),Address - Administrative area (i.e. State / Province),Country,Generic Phone Number for site,Generic Email for site,Organization,Notes
7130,Lower Shabelle,68 - Somalia,Lower Shabelle,Lower Shabelle  0,Lower Shabelle,Lower Shabelle,205 - Somalia,"+254 20 4002400
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
7131,Middle Juba,68 - Somalia,Middle Juba,Middle Juba  0,Middle Juba,Middle Juba,205 - Somalia,"+254 20 4002400
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
7132,Middle Shabelle,68 - Somalia,Middle Shabelle,Middle Shabelle  0,Middle Shabelle,Middle Shabelle,205 - Somalia,"+254 20 4002400
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
7133,Mogadishu,68 - Somalia,Banadir,UNCC  0,Mogadishu,Mogadishu,205 - Somalia,"+252 698 222223
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
7134,Nairobi,61 - Eastern Africa,,28832  200,Nairobi,,116 - Kenya,"+254 20 4002400
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,"25th April 2017 - Operation was listed as Kenya, Somalie, but was changed to 'Eastern Africa' to fit with the Operations Taxonomy at the time"
7135,South Mudug,68 - Somalia,Mudug,South Mudug  0,South Mudug,South Mudug,205 - Somalia,"+254 20 4002400
",ochasomalainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
9207,Cotabato Sub-Office,84 - Philippines,,No. 080 Rufo Manara St. Rosary Heights 10 9600,Cotabato City,Mindanao,175 - Philippines,"+63 64 421 7935
",muktar@un.org,,
9210,Manila,84 - Philippines,,"30/F, Yuchengco Tower, RCBC Plaza Ayala Avenue 1226",Makati City,NCR,175 - Philippines,"+63 2 843 9553
",ochaphilippines@un.org,,
9265,Bureau Régional pour l'Afrique de l'Ouest et du Centre,25 - West and Central Africa,Senegal,"Sacre-Coeur 3, villa 9364  16 922","Fann, Dakar",,196 - Senegal,"+221 33 869 85 00
",ocharowca@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
16458,National Coordination,25 - West and Central Africa,Abuja Municipal,"No. 15 Mississippi Street Ministers Hill, Maitama ",Abuja,FCT,163 - Nigeria,,ochanigeria@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
16710,Dahuk,2793 - Iraq,Dahuk,  ,,,106 - Iraq,,,,
16711,Erbil,2793 - Iraq,Erbil,  ,Erbil,,106 - Iraq,,,,
16712,Al Sulaymaniyah,2793 - Iraq,Al Sulaymaniyah,  ,Al Sulaymaniyah,,106 - Iraq,,,,
16761,United Nations Office for Coordination of Humanitarian Affairs,73 - occupied Palestinian territory,occupied Palestinian territory,Saint George Street  ,Jersualem,,170 - occupied Palestinian territory,"Work: 
+972 2-582-9962
",ochaopt@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
16859,Baghdad,2793 - Iraq,Baghdad,  ,,,106 - Iraq,,,,
17061,Sub office of United Nations Office for Coordination of Humanitarian Affairs (OCHA) - Nablus,73 - occupied Palestinian territory,occupied Palestinian territory,  ,Nablus,,170 - occupied Palestinian territory,"Work: 
+970 9 234 3606
, Fax: 
+970 9 234 3606
",ochaopt@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
17062,Sub office of United Nations Office for Coordination of Humanitarian Affairs (OCHA) - Ramallah,73 - occupied Palestinian territory,occupied Palestinian territory,  ,Ramallah,,170 - occupied Palestinian territory,"Work: 
+970 2 297 4834
, Fax: 
+970 2 297 4834
",ochaopt@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
17063,Sub office of United Nations Office for Coordination of Humanitarian Affairs (OCHA) - Hebron,73 - occupied Palestinian territory,occupied Palestinian territory,  ,Hebron,,170 - occupied Palestinian territory,"Work: 
+970 2 229 2114
, Fax: 
+970 2 229 2114
",ochaopt@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
17064,Sub office of United Nations Office for Coordination of Humanitarian Affairs (OCHA) - Gaza,73 - occupied Palestinian territory,occupied Palestinian territory,  ,,,170 - occupied Palestinian territory,"Work: 
+970 8 286 0074
, Fax: 
+970 8 282 0966
",ochaopt@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
17081,Kirkuk,2793 - Iraq,Kirkuk,  ,Kirkuk,,106 - Iraq,,,,
17891,Bambari,39 - République centrafricaine,Bambari,Ouaka  ,Bambari,,43 - Central African Republic,"+236 70 85 75 40
, +236 72 25 11 66
",mululuc@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
17893,Bangui,39 - République centrafricaine,Bangui,Bangui  ,Bangui,,43 - Central African Republic,"+236 70 46 46 64
",yakara@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
17894,Bossangoa,39 - République centrafricaine,Bossangoa,  ,Bossangoa,,43 - Central African Republic,"+236 70 00 96 07
",mboligassihe@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
17896,Bouar,39 - République centrafricaine,Bouar,  ,Bouar,,43 - Central African Republic,"+236 70 73 81 97
",kroning@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
17897,Kaga-Bandoro,39 - République centrafricaine,Kaga-Bandoro,  ,,,43 - Central African Republic,"+236 70 00 96 25
",simba@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
17898,Ndélé,39 - République centrafricaine,Ndélé,  ,Ndélé,,43 - Central African Republic,"+236 75 00 14 31
",lukemba@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
17899,Paoua,39 - République centrafricaine,Paoua,  ,Paoua,,43 - Central African Republic,"+236 70 85 75 42
",ajaruvwa@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
21161,Beni,40 - Democratic Republic of Congo,Beni,"7, Rue Sivirwa, Quartier Résidentiel Commune de Bungulu ",Beni,,"52 - Congo, Democratic Republic of the","+243 992 906 658
, Work: 
+882 16 6700 0353
",arunaa@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
21162,Bukavu,40 - Democratic Republic of Congo,Bukavu,"34/02, Avenue Lundula , Q. Muhumba Commune d’Ibanda ",Bukavu,,"52 - Congo, Democratic Republic of the","+243 970 003 766
, +882 16 6703 9441
",mehaule@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
21163,Bunia,40 - Democratic Republic of Congo,Ituri,"Avenue de la Libération, Quartier Lumumba  ",Bunia,,"52 - Congo, Democratic Republic of the","+243 995 901 538
, +882 16 6703 9022
",giuliano@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
21165,Goma,40 - Democratic Republic of Congo,Nord-Kivu,"6053, Avenue Kanyamuhanga Quartier le volcan P.O. Box. 14 ",Goma,,"52 - Congo, Democratic Republic of the","+243 971 015 444
, Work: 
+882 16 6700 2287
",inganji@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
21166,Kalemie,40 - Democratic Republic of Congo,Kalemie,Kalemie  ,Kalemie,,"52 - Congo, Democratic Republic of the","+243 992 906 284
, Work: 
+882 16 6700 1000
",mwanakasala@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
21167,Kindu,40 - Democratic Republic of Congo,Kindu,Kindu  ,Kindu,,"52 - Congo, Democratic Republic of the","Work: 
+243 817 061 215
, +882 16 6700 2979
",guelnoudji@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
21168,Kinshasa,40 - Democratic Republic of Congo,Kinshasa,"6194, Boulevard du 30 Juin, Immeuble Losonia; Commune de la Gombe 7248 Kin1",Kinshasa,,"52 - Congo, Democratic Republic of the","Work: 
+243 999 986 489
, Work: 
+243 995 901 549
",ochadrc@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
21169,Kisangani,40 - Democratic Republic of Congo,Kisangani,"34, Avenue General Mulamba, Commune de Makiso  ",Kisangani,,"52 - Congo, Democratic Republic of the","Work: 
+243 812 677 060
, +882 16 6700 0976
",kalenga@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
21170,Lubumbashi,40 - Democratic Republic of Congo,Lubumbashi,"1854, avenue Kapenda  ",Lubumbashi,,"52 - Congo, Democratic Republic of the","+243 817 061 223
, +243 970 003 776
",beye@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
21171,Shabunda,40 - Democratic Republic of Congo,Shabunda,Shabunda  ,Shabunda,,"52 - Congo, Democratic Republic of the","+882 16 6700 2739
, Work: 
+243 998 891 489
",mbilizi@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
21172,Uvira,40 - Democratic Republic of Congo,Uvira,Uvira  ,Uvira,,"52 - Congo, Democratic Republic of the","+882 16 6700 0356
, Work: 
+243 817 061 251
",djedi@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
21173,Walikale,40 - Democratic Republic of Congo,Walikale,Walikale  ,Walikale,,"52 - Congo, Democratic Republic of the","+243 995 901 527
, Work: 
+882 16 6703 9723
",matetea@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
22251,Central Highland,82 - Afghanistan,Bamyan,Central Highland  ,,,1 - Afghanistan,,alii@un.org ,497 - United Nations Office for the Coordination of Humanitarian Affairs,
22252,Central Region,82 - Afghanistan,Kabul,Central Region  ,Kabul,,1 - Afghanistan,,Siraj1@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
22253,Eastern Region,82 - Afghanistan,Nangarhar,Eastern Region  ,Jalalabad,,1 - Afghanistan,,chatora@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
22254,National Level Coordination,82 - Afghanistan,Kabul,Kabul  ,Kabul,,1 - Afghanistan,,parker@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
22255,North Eastern Region,82 - Afghanistan,Kunduz,North Eastern Region  ,Kunduz,,1 - Afghanistan,,shahimt@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
22256,Northern Region,82 - Afghanistan,Balkh,Northern Region  ,Mazar-i-Sharif,,1 - Afghanistan,,viehboeck@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
22257,South Eastern Region,82 - Afghanistan,Paktya,South Eastern Region  ,Gardez,,1 - Afghanistan,,Ahmadya@un.org ,497 - United Nations Office for the Coordination of Humanitarian Affairs,
22258,Southern Region,82 - Afghanistan,Kandahar,Southern Region  ,Kandahar,,1 - Afghanistan,,bashirn@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
22259,Western Region,82 - Afghanistan,Hirat,Western Region  ,Hirat,,1 - Afghanistan,"+93 79 300 1117
",mugari@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
22260,Harare Office,60 - Zimbabwe,Harare,"Block 7, Arundel Office Park Mount Pleasant ",Harare,,248 - Zimbabwe,"+263 4 338 836
",ochazim@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
28361,OCHA Niger,37 - Niger,Niamey,267 rue des Dallois  11207,Niamey,,162 - Niger,"+227 20 72 64 01
",ochaniger@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
28785,Bamako,35 - Mali,Commune V,Badalabougou  ,Bamako,,137 - Mali,"+223 75 99 73 85
",kollies@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
28786,Gao,35 - Mali,Gao,Bureau Conjoint Chateau ,Gao,,137 - Mali,"+223 75 99 32 00
",kamanzi1@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
28787,Mopti,35 - Mali,Mopti,Bureau conjoint Sévaré ,Mopti,,137 - Mali,"Mobile: 
+223 75 99 55 80
",ndayirukiye@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
28788,Tombouctou,35 - Mali,Tombouctou,Bureau conjoint  ,Tombouctou,,137 - Mali,"+223 75 32 27 39
",liade@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
28796,Port-au-Prince Office,78 - Haiti,Haiti,"8, Impasse Demesvar, Delmas 60, Musseau  ",Port-au-Prince,,96 - Haiti,,ditaranto@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
33694,Bureau OCHA Côte d'Ivoire,29 - Ivory Coast,Côte d'Ivoire,Cocody Danga Villa 13  01 BP 1747,Abidjan,,55 - Côte d'Ivoire,"+222 22 48 44 00
",kats@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
33695,Ndjamena,43 - Chad,N'Djamena,Rue du Capitaine Abdramane Mahamat Béchir  ,Ndjamena,,44 - Chad,"+235 66 90 75 83
",mehaule@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
33698,HAT Burkina Faso,25 - West and Central Africa,Burkina Faso,"Immeuble des Nations Unies, Koulouba secteur 4  01 BP 575",Ouagadougou,,36 - Burkina Faso,"+226 50 49 06 99
",ocha.bfa.im@gmail.com,497 - United Nations Office for the Coordination of Humanitarian Affairs,
33699,OCHA Guinée,32 - Guinea,Guinea,Quartier Landreah Port Commune de Dixin BP 222,Conakry,,93 - Guinea,"+224 624 39 44 64
",tsekouras@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
33700,OCHA Libéria,34 - Liberia,Montserrado,505A 5th Floor PAP Building Monrovia Liberia Sinkor 0,Monrovia,,126 - Liberia,"+231 770 180 350
",dufour@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
33701,HAT Mauritanie,36 - Mauritanie,Mauritania,"Villa 181 ilot K, 35 rue 42-141 Tevragh-Zeina  ",Nouakchott,,141 - Mauritania,"+222 45 24 19 60
",mofiling@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
37283,Emergency Management Cook Islands (EMCI),1449 - Cook Islands,Cook Islands,Avarua  ,Rarotonnga,,53 - Cook Islands,"+682 29 609
",,497 - United Nations Office for the Coordination of Humanitarian Affairs,
37284,Fiji National Disaster Management Office (NDMO),1450 - Fiji,Fiji,1 Regional House Knolly Street ,Suva,,74 - Fiji,"+679 331 3400
",,497 - United Nations Office for the Coordination of Humanitarian Affairs,
37285,FSM Office of Environment and Emergency Management (OoEEM),1451 - Federated States of Micronesia,,  ,Palikir,Pohnpei,"145 - Micronesia, Federated States of","+691 320 8815
",,497 - United Nations Office for the Coordination of Humanitarian Affairs,
37286,Kiribati National Disaster Management Office (NDMO),1452 - Kiribati,Kiribati,  ,Tarawa,,117 - Kiribati,"+686 21183
",,497 - United Nations Office for the Coordination of Humanitarian Affairs,
37287,Marshall Islands National Disaster Management Office (NDMO),1453 - Marshall Islands,Marshall Islands,  96960,Majuro,,139 - Marshall Islands,,,497 - United Nations Office for the Coordination of Humanitarian Affairs,
37288,Nauru National Disaster Risk Management (NDRM) Office,1454 - Nauru,Nauru,Yaren District  ,,,155 - Nauru,"+674 557 3101
",,497 - United Nations Office for the Coordination of Humanitarian Affairs,
37289,Palau National Emergency Management Office (NEMO),1456 - Palau,Palau,  96940,Koror,,169 - Palau,"+680 488 2249
",nemo@palaunet.com ,497 - United Nations Office for the Coordination of Humanitarian Affairs,
37290,Samoa National Disaster Management Office (NDMO),1457 - Samoa,Samoa,  ,Apia,,192 - Samoa,"+685 20856
",dmosamoa@gmail.com,497 - United Nations Office for the Coordination of Humanitarian Affairs,
37291,Tonga National Emergency Management Office (NEMO),1460 - Tonga,Tonga,Alaivaha'amama'o Bypass Road Vaololoa ,Nuku'alofa,,225 - Tonga,"+676 26-340
",tonganemo@gmail.com,497 - United Nations Office for the Coordination of Humanitarian Affairs,
37292,Tuvalu National Disaster Management Office (NDMO),1461 - Tuvalu,Tuvalu,Vaiaku Funafuti ,,,231 - Tuvalu,"+688 20342
",,497 - United Nations Office for the Coordination of Humanitarian Affairs,
37293,Vanuatu National Disaster Management Office (NDMO),1462 - Vanuatu,Vanuatu,  ,Port-Vila,,240 - Vanuatu,"+678 22675
",,497 - United Nations Office for the Coordination of Humanitarian Affairs,
38035,Antakya,2788 - Turkey Cross-border,Turkey,  ,Antakya,,228 - Turkey,,,497 - United Nations Office for the Coordination of Humanitarian Affairs,
38036,Gaziantep,2788 - Turkey Cross-border,Turkey,  ,Gaziantep,,228 - Turkey,,,497 - United Nations Office for the Coordination of Humanitarian Affairs,
39800,Eldoret Hub,66 - Kenya,Eldoret,  1,Eldoret,,116 - Kenya,,dickinsonl@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
39801,Garissa Hub,66 - Kenya,Garissa,  1,Garissa,,116 - Kenya,"+254 732 500024
",nikolich@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
39802,Isiolo / Marsabit,66 - Kenya,Isiolo,  1,Isiolo / Marsabit,,116 - Kenya,"+254 707 724610
",timothy.koskei@wfp.org,501 - World Food Programme,
39803,Kisumu Hub,66 - Kenya,Kisumu,  1,Kisumu,,116 - Kenya,"+254 708 989214
",mgwada@unicef.org,484 - United Nations Children's Fund,
39804,Lodwar Hub,66 - Kenya,Lodwar,  1,Lodwar,,116 - Kenya,"+254 701 796186
",lokaitomark@yahoo.com,,
39805,Mombasa Hub,66 - Kenya,Mombasa,  1,Mombasa,,116 - Kenya,"+254 707 724440
",Christine.Adiema@wfp.org ,501 - World Food Programme,
39806,Nairobi Hub,66 - Kenya,Nairobi,"Kaskazi Lane/Mpesi Lane Off Muthithi Road, Westlands  1",Nairobi,,116 - Kenya,"+254 710 344529
",hubnairobi@hotmail.com,453 - Concern Worldwide,
39807,Nakuru Hub,66 - Kenya,Nakuru,  1,Nakuru,,116 - Kenya,"+254 722 780914
",paul.mutinda@nrc.no,478 - Norwegian Refugee Council,
41124,Abeche,43 - Chad,Abéché,Region du Ouaddai  ,Abeche,,44 - Chad,"Mobile: 
+235 68 97 76 93
",arunaa@un.org ,497 - United Nations Office for the Coordination of Humanitarian Affairs,
41125,Goré,43 - Chad,Goré,Goré  ,Goré,,44 - Chad,"+235 66 90 46 32
",nsabiyeze@un.org ,497 - United Nations Office for the Coordination of Humanitarian Affairs,
41127,Mao,43 - Chad,Mao,region du Kanem  ,Mao,,44 - Chad,"+235 66 20 16 53
",sonon@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
41128,Sarh,43 - Chad,Sarh,Region du Moyen Chari  ,Sarh,,44 - Chad,"Work: 
+235 66 90 46 32
", nsabiyeze@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
47959,UNICEF office,43184 - Ukraine,Kyiv,5 Klovsky Uzviz  1021,Kyiv,,233 - Ukraine,"+380 44 230 2514
",kiev@unicef.org,484 - United Nations Children's Fund,
48088,IOM ,43184 - Ukraine,Kyiv,8 Mykhailivska Street  1001,Kyiv,,233 - Ukraine,"+380 44 568 5015
",iomkievcomm@iom.int,473 - International Organization for Migration,
48220,UNHCR Regional Office,43184 - Ukraine,Kyiv,"14, Lavrska St.  1015",Kyiv,,233 - Ukraine,"Work: 
+380 44 288 9710
",ukrki@unhcr.org,490 - United Nations High Commissioner for Refugees,
48248,Aden Sub-Office,75 - Yemen,Aden,Hoshi Mana street Beside German Cosulate. Khormaksar 2,Aden,,246 - Yemen,,yemen@humanitarianresponse.info,497 - United Nations Office for the Coordination of Humanitarian Affairs,
48249,Haradh Sub-Office,75 - Yemen,Haradh,  ,Haradh,,246 - Yemen,,yemen@humanitarianresponse.info,497 - United Nations Office for the Coordination of Humanitarian Affairs,
48250,Sa'ada Sub-Office,75 - Yemen,Sa'ada,  ,Sa'ada,,246 - Yemen,,yemen@humanitarianresponse.info,497 - United Nations Office for the Coordination of Humanitarian Affairs,
48251,Sana'a Head Office,75 - Yemen,Sana'a,"UNDP Compound, Sana'a  1",Sana'a,,246 - Yemen,,yemen@humanitarianresponse.info,497 - United Nations Office for the Coordination of Humanitarian Affairs,
49896,UNHCR Kharkiv,43184 - Ukraine,Kharkiv,"Navruz Restaurant, Shevchenko Street 216 B  ",Kharkiv,Kharkivska Oblast,233 - Ukraine,,,,
52158,Islamabad,81 - Pakistan,Federal Capital Territory,"Serena Business Complex, 2nd Level, Khayaban-e-Suharwardy, Sector G-5 44000",Islamabad,,168 - Pakistan,"+92 51 8355600
",ocha.im.pk@gmail.com,497 - United Nations Office for the Coordination of Humanitarian Affairs,
52159,Karachi,81 - Pakistan,Karachi City,"41-D, Street 42, PECHS Block 6  75400",Karachi,,168 - Pakistan,"+92 213454952528
",ocha.im.pk@gmail.com,497 - United Nations Office for the Coordination of Humanitarian Affairs,
52160,Peshawar,81 - Pakistan,Peshawar,"House # 34(D) 1, Sahibzada Abdul Qayyum Road, University Town  25000",Peshawar,,168 - Pakistan,"+92 91 5852279
",ocha.im.pk@gmail.com,497 - United Nations Office for the Coordination of Humanitarian Affairs,
52161,Quetta,81 - Pakistan,Quetta,Quetta  87300,Quetta,,168 - Pakistan,"+92 346 8563664
",ocha.im.pk@gmail.com,497 - United Nations Office for the Coordination of Humanitarian Affairs,
59256,UN OCHA Donetsk,43184 - Ukraine,Donetsk,1A Polotskaya Str  83092,Donetsk,,233 - Ukraine,"+380 66 113 1413
, +380 93 005 6996
",trutmann@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
62229,Equipo Humanitario Antioquia,77 - Colombia,,Carrera 43A # 1-85 Oficina 213 Edificio Caja Social ,Medellín,,49 - Colombia,"+57 4 3212228
",ehlantioquia@colombiassh.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
62230,Equipo Humanitario Arauca,77 - Colombia,,Calle 20 # 24-68  ,Arauca,,49 - Colombia,"+57 7 8857788
",arauca@colombiassh.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
62231,Equipo Humanitario Chocó,77 - Colombia,,Calle 21 No. 4-82 Barrio Yesquita ,Quibdó,,49 - Colombia,"+57 6722377
",ochapacifico@colombiassh.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
62232,Equipo Humanitario Córdoba,77 - Colombia,,Carrera 15 # 27-08 Barrio Costa de Oro ,Montería,,49 - Colombia,"+57 1 6221100
",ehlcordoba@colombiassh.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
62233,Equipo Humanitario Nariño,77 - Colombia,,Calle 21 A # 41A-39  ,Pasto,,49 - Colombia,"+57 2 7310829
",ochapasto@un-ocha.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
62234,Equipo Humanitario Norte de Santander,77 - Colombia,,Avenida 6E No. 5-34 Barrio Popular  ,Cúcuta,,49 - Colombia,"+57 7 5778669
",ochacolombia@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
62235,Equipo Humanitario Putumayo,77 - Colombia,,Carrera 12A # 11-16 Barrio Obrero ,Mocoa,,49 - Colombia,"+57 1 6221100
",ehlnarinoputumayo@colombiassh.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
62236,Equipo Humanitario Suroriente,77 - Colombia,,Carrera 31 # 41-53 Barrio Centro ,Villavicencio,,49 - Colombia,"+57 8 6610171
",ochasuroriente@colombiassh.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
